school,gender,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Salc,subject,G3_d
GP,F,15,U,GT3,T,higher education,higher education,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,Medium,Medium,Medium,Very Low,Low,Low,0,10,8,9,Very Low,math,F
GP,F,15,U,GT3,T,5th to 9th grade,primary education (4th grade),services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,Very High,Low,Low,Very Low,Very Low,High,4,10,12,12,Extremely Low,math,C
GP,M,15,U,LE3,T,higher education,higher education,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,High,Medium,Medium,Very Low,Medium,Very High,2,14,14,14,Low,math,B
GP,M,15,U,GT3,T,higher education,secondary education,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,Very High,High,Medium,Very Low,Low,Medium,2,10,10,11,Very Low,math,D
GP,M,15,U,GT3,A,5th to 9th grade,5th to 9th grade,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,High,Very High,Low,Very Low,Very Low,Medium,0,14,16,16,Extremely Low,math,A
GP,F,16,U,GT3,T,higher education,higher education,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,High,High,High,Very Low,Low,Low,4,14,14,14,Very Low,math,B
GP,F,16,U,GT3,T,higher education,higher education,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,Medium,Low,Medium,Very Low,Low,Low,6,13,14,14,Very Low,math,B
GP,F,16,U,GT3,T,secondary education,secondary education,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,Very High,Medium,Low,Very Low,Very Low,High,4,8,10,10,Extremely Low,math,D
GP,M,17,U,GT3,T,secondary education,5th to 9th grade,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,Very High,Very High,Very High,Low,High,Very High,16,6,5,5,Medium,math,F
GP,M,16,U,LE3,T,higher education,secondary education,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,Medium,Very Low,Medium,Very Low,Medium,Very High,4,8,10,10,Low,math,D
GP,M,15,U,GT3,T,higher education,secondary education,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,High,High,Very Low,Very Low,Very Low,Very Low,0,13,14,15,Extremely Low,math,B
GP,M,15,U,GT3,T,higher education,higher education,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,Very High,High,Low,Very Low,Very Low,Very High,0,12,15,15,Extremely Low,math,B
GP,M,16,U,LE3,T,higher education,5th to 9th grade,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,High,Very High,Very Low,Very Low,Medium,Very High,2,15,15,16,Low,math,A
GP,M,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,Very High,High,High,Low,High,Very High,0,13,13,12,Medium,math,C
GP,F,15,R,GT3,T,5th to 9th grade,higher education,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,High,Medium,Low,Very Low,Very Low,Very High,2,10,9,8,Extremely Low,math,F
GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,Very Low,Low,Low,Very Low,Medium,Very High,14,6,9,8,Low,math,F
GP,M,15,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,High,Low,Low,Very Low,Low,Very High,2,12,12,11,Very Low,math,D
GP,M,15,U,GT3,T,higher education,5th to 9th grade,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,Low,Low,High,Low,High,Very Low,4,15,16,15,Medium,math,B
GP,M,16,U,LE3,A,secondary education,higher education,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Very High,4,11,11,11,Extremely Low,math,D
GP,M,16,U,GT3,T,higher education,higher education,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,High,High,Very High,Very High,Very High,Very High,16,10,12,11,Extremely High,math,D
GP,M,15,U,GT3,T,higher education,higher education,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,Very High,High,Low,Medium,High,Very High,0,9,11,12,Medium High,math,C
GP,M,15,U,GT3,T,higher education,higher education,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,High,Medium,Very Low,Very Low,Very Low,Very High,0,17,16,17,Extremely Low,math,A
GP,M,15,R,GT3,T,higher education,secondary education,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,High,Very High,Low,Very Low,Very Low,Very High,0,17,16,16,Extremely Low,math,A
GP,M,15,U,LE3,T,secondary education,secondary education,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,Very High,Medium,Low,Very Low,Very Low,Low,0,8,10,12,Extremely Low,math,C
GP,M,16,U,GT3,T,secondary education,5th to 9th grade,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,Very High,High,Medium,Very Low,Very Low,Very High,0,12,14,15,Extremely Low,math,B
GP,F,15,U,GT3,T,5th to 9th grade,secondary education,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,Medium,Very High,Very Low,Very Low,Very Low,Very High,0,8,7,6,Extremely Low,math,F
GP,M,15,U,LE3,T,higher education,secondary education,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,Very High,High,Medium,Very Low,Very Low,High,2,15,16,18,Extremely Low,math,A
GP,M,16,R,GT3,A,higher education,higher education,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,Low,High,Medium,Very Low,Very Low,Very High,7,15,16,15,Extremely Low,math,B
GP,F,15,R,GT3,T,secondary education,higher education,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,High,Medium,Low,Very Low,Very Low,Very High,2,12,12,11,Extremely Low,math,D
GP,F,15,R,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,High,Medium,Very Low,Very Low,Very Low,Low,8,14,13,13,Extremely Low,math,C
GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,Medium,Medium,Medium,Very Low,Low,Medium,25,7,10,11,Very Low,math,D
GP,M,15,U,LE3,T,higher education,higher education,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,Very High,High,Medium,Low,High,Very High,8,12,12,12,Medium,math,C
GP,M,15,U,GT3,T,higher education,higher education,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,High,Medium,Medium,Very Low,Very Low,Very High,2,19,18,18,Extremely Low,math,A
GP,M,15,U,GT3,T,5th to 9th grade,5th to 9th grade,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,Very High,High,Very Low,Very Low,Very Low,Very Low,0,8,8,11,Extremely Low,math,D
GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,High,Medium,Medium,Low,Low,Very High,14,10,10,9,Low,math,F
GP,F,15,U,LE3,A,higher education,secondary education,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,Very High,Low,Low,Very Low,Very Low,Very High,8,8,8,6,Extremely Low,math,F
GP,F,16,U,LE3,A,secondary education,secondary education,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,Low,Medium,Very High,Very Low,High,Medium,12,11,12,11,Medium Low,math,D
GP,M,16,U,GT3,T,higher education,secondary education,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,High,Low,Low,Very Low,Very Low,Low,4,19,19,20,Extremely Low,math,A
GP,M,15,U,GT3,T,higher education,5th to 9th grade,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,High,Medium,Medium,Low,Low,Very High,2,15,15,14,Low,math,B
GP,F,15,U,GT3,T,higher education,higher education,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,High,High,High,Very Low,Very Low,Medium,2,7,7,7,Extremely Low,math,F
GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Low,Medium,High,2,12,13,13,Medium Low,math,C
GP,F,15,U,LE3,T,higher education,5th to 9th grade,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Very Low,Very High,2,11,13,13,Extremely Low,math,C
GP,M,15,U,LE3,A,higher education,5th to 9th grade,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,Very High,Very High,Very High,Medium,High,Very High,6,11,11,10,Medium High,math,D
GP,F,15,U,GT3,T,higher education,higher education,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,Medium,Medium,High,Low,Medium,Very High,0,8,10,11,Medium Low,math,D
GP,F,15,U,LE3,A,secondary education,secondary education,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,Very High,Medium,High,High,High,Very Low,6,10,13,13,High,math,C
GP,F,16,U,GT3,A,5th to 9th grade,primary education (4th grade),other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,Very High,Medium,High,Very Low,Very Low,Low,8,8,9,10,Extremely Low,math,D
GP,F,15,U,GT3,A,higher education,secondary education,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,High,Medium,Low,Very Low,Very Low,Very Low,0,14,15,15,Extremely Low,math,B
GP,M,15,U,GT3,T,higher education,higher education,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,Medium,Low,Low,Very Low,Very Low,Very High,4,14,15,15,Extremely Low,math,B
GP,M,15,U,LE3,T,primary education (4th grade),5th to 9th grade,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,High,Medium,Low,Very Low,Very Low,Very High,2,9,10,9,Extremely Low,math,F
GP,F,16,U,GT3,T,higher education,5th to 9th grade,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,High,Low,Medium,Very Low,Very Low,Very High,2,15,16,16,Extremely Low,math,A
GP,F,16,R,GT3,T,higher education,higher education,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,Low,High,High,Low,Medium,High,6,10,11,11,Medium Low,math,D
GP,F,16,U,GT3,T,primary education (4th grade),primary education (4th grade),services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,Very High,Very High,Very High,Very High,Very High,Very High,6,10,8,11,Extremely High,math,D
GP,F,16,U,LE3,T,primary education (4th grade),5th to 9th grade,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,High,High,Medium,Very Low,Very Low,Very Low,4,8,10,9,Extremely Low,math,F
GP,F,16,U,GT3,T,higher education,secondary education,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,Medium,High,High,Low,High,High,2,10,9,9,Medium,math,F
GP,F,15,U,LE3,T,higher education,secondary education,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,High,High,High,Low,High,Low,0,10,10,10,Medium,math,D
GP,F,16,U,LE3,T,higher education,secondary education,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,Very High,High,Medium,Very Low,Low,Very Low,2,16,15,15,Very Low,math,B
GP,M,15,U,GT3,A,higher education,higher education,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,Very Low,Medium,Medium,Very High,Very High,Medium,4,13,13,12,Extremely High,math,C
GP,F,16,U,GT3,T,secondary education,primary education (4th grade),services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,High,Medium,Medium,Very Low,Low,Very High,4,7,7,6,Very Low,math,F
GP,F,15,R,LE3,T,5th to 9th grade,5th to 9th grade,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,High,Very Low,Medium,Very Low,Medium,High,2,8,9,8,Low,math,F
GP,F,15,R,LE3,T,secondary education,primary education (4th grade),other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,High,High,Low,Low,Medium,Medium,12,16,16,16,Medium Low,math,A
GP,M,16,U,GT3,T,secondary education,primary education (4th grade),other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,High,Medium,Low,Very Low,Very Low,Very High,0,13,15,15,Extremely Low,math,B
GP,M,15,U,GT3,T,higher education,5th to 9th grade,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,Medium,Medium,Medium,Very Low,Very Low,Medium,0,10,10,10,Extremely Low,math,D
GP,F,15,R,GT3,T,primary education (4th grade),primary education (4th grade),other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,Medium,Medium,High,Low,High,Very High,2,8,6,5,Medium,math,F
GP,M,16,U,GT3,T,secondary education,primary education (4th grade),other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,Very High,Medium,Low,Low,Low,Very High,2,12,12,14,Low,math,B
GP,F,16,U,GT3,T,secondary education,secondary education,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,High,Medium,Medium,Low,High,Very High,54,11,12,11,Medium,math,D
GP,M,15,U,GT3,T,higher education,secondary education,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,High,Medium,Medium,Low,Medium,Very High,6,9,9,10,Medium Low,math,D
GP,M,15,U,GT3,T,higher education,none,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,Medium,High,Medium,Very Low,Very Low,Very Low,8,11,11,10,Extremely Low,math,D
GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,Very High,Low,Medium,Very Low,Medium,Medium,0,11,11,11,Low,math,D
GP,M,17,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,High,Very High,Very Low,Very Low,Very Low,Medium,2,8,8,10,Extremely Low,math,D
GP,F,16,U,GT3,T,secondary education,higher education,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,Low,High,Medium,Very Low,Low,Medium,12,5,5,5,Very Low,math,F
GP,M,15,U,GT3,T,5th to 9th grade,secondary education,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,Medium,Low,Low,Very Low,Medium,Medium,2,10,12,12,Low,math,C
GP,M,15,U,GT3,T,5th to 9th grade,secondary education,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,Very High,Medium,Low,Very Low,Low,Very High,4,11,10,11,Very Low,math,D
GP,F,15,U,LE3,T,secondary education,5th to 9th grade,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,High,High,High,Very Low,Very Low,Very High,10,7,6,6,Extremely Low,math,F
GP,M,15,U,LE3,T,5th to 9th grade,5th to 9th grade,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Medium,High,4,15,15,15,Low,math,B
GP,F,15,U,GT3,T,primary education (4th grade),primary education (4th grade),other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,High,Medium,Low,Low,Medium,High,2,9,10,10,Medium Low,math,D
GP,F,15,U,GT3,T,higher education,higher education,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,High,High,High,Low,Medium,Very High,6,7,9,8,Medium Low,math,F
GP,F,16,U,LE3,T,5th to 9th grade,5th to 9th grade,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,High,Medium,High,Very Low,Low,Low,4,8,7,6,Very Low,math,F
GP,F,15,U,GT3,T,higher education,5th to 9th grade,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Medium,Very Low,4,13,14,14,Low,math,B
GP,M,16,U,GT3,T,5th to 9th grade,5th to 9th grade,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,High,High,Low,Very Low,Very Low,Medium,12,11,10,10,Extremely Low,math,D
GP,M,16,U,LE3,A,higher education,higher education,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,High,Very Low,Medium,Medium,Very High,Very High,18,8,6,7,High,math,F
GP,F,16,U,GT3,T,secondary education,secondary education,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,High,Medium,Medium,Very Low,Medium,High,0,7,7,8,Low,math,F
GP,F,15,U,GT3,T,higher education,secondary education,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,High,Very High,Very High,Very Low,Medium,Very Low,4,16,17,18,Low,math,A
GP,F,16,U,LE3,T,secondary education,primary education (4th grade),other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,Medium,Medium,Medium,Low,Medium,Low,4,7,6,6,Medium Low,math,F
GP,F,16,U,GT3,T,higher education,5th to 9th grade,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Very Low,0,11,10,10,Extremely Low,math,D
GP,M,15,U,LE3,T,5th to 9th grade,5th to 9th grade,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,High,Medium,High,Very Low,Very Low,High,6,11,13,14,Extremely Low,math,B
GP,F,15,R,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,Medium,Very Low,Low,Very Low,Very Low,Very Low,2,7,10,10,Extremely Low,math,D
GP,M,16,R,GT3,T,higher education,secondary education,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,Medium,Medium,Medium,Very Low,Very Low,High,2,11,15,15,Extremely Low,math,B
GP,F,16,U,GT3,T,5th to 9th grade,primary education (4th grade),other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,High,Medium,Very High,Very Low,Very Low,Very High,2,8,9,10,Extremely Low,math,D
GP,F,16,U,GT3,T,higher education,higher education,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,Very High,Medium,High,Very Low,Low,Very Low,6,11,14,14,Very Low,math,B
GP,F,16,U,GT3,T,higher education,secondary education,other,at_home,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,no,Very High,Medium,Very High,Very Low,Very Low,Medium,0,7,9,8,Extremely Low,math,F
GP,M,16,U,GT3,T,higher education,higher education,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,High,Very High,Very High,Very High,Very High,High,14,7,7,5,Extremely High,math,F
GP,M,16,U,GT3,T,higher education,higher education,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,High,High,Medium,Very Low,Very Low,High,0,16,17,17,Extremely Low,math,A
GP,M,15,U,GT3,T,higher education,higher education,services,other,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Very High,4,10,13,14,Extremely Low,math,B
GP,F,15,U,GT3,T,secondary education,5th to 9th grade,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,High,Medium,Very High,Very Low,Very Low,Low,26,7,6,6,Extremely Low,math,F
GP,M,15,U,GT3,A,secondary education,higher education,services,other,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,Very High,High,High,Very Low,Very Low,Very Low,0,16,18,18,Extremely Low,math,A
GP,F,15,U,GT3,A,secondary education,secondary education,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,High,Medium,Medium,Very Low,Very Low,High,10,10,11,11,Extremely Low,math,D
GP,F,15,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,Very High,Very Low,Low,Very Low,Very Low,Medium,8,7,8,8,Extremely Low,math,F
GP,M,16,U,GT3,T,secondary education,secondary education,services,other,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Very High,2,16,18,18,Extremely Low,math,A
GP,M,15,R,GT3,T,higher education,higher education,other,other,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,Very Low,Medium,Very High,Medium,Very High,Very Low,6,10,13,13,High,math,C
GP,F,16,U,LE3,T,higher education,higher education,health,health,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,Very High,High,Very High,Very Low,Very Low,High,4,14,15,16,Extremely Low,math,A
GP,M,15,U,LE3,A,higher education,higher education,teacher,teacher,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,Very High,Very High,Medium,Very Low,Very Low,High,6,18,19,19,Extremely Low,math,A
GP,F,16,R,GT3,T,secondary education,secondary education,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,High,Very Low,Low,Very Low,Very Low,Low,0,7,10,10,Extremely Low,math,D
GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,at_home,other,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,Medium,Very Low,Low,Very Low,Very Low,Very High,6,10,13,13,Extremely Low,math,C
GP,M,15,U,LE3,T,higher education,5th to 9th grade,teacher,other,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,Medium,Very High,Low,Very Low,Very Low,Medium,10,18,19,19,Extremely Low,math,A
GP,M,15,R,GT3,T,5th to 9th grade,primary education (4th grade),health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,Very High,High,Low,Very Low,Very Low,Very High,8,9,9,9,Extremely Low,math,F
GP,M,16,U,GT3,T,higher education,higher education,teacher,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,Very High,High,High,Very Low,Low,Very High,2,15,15,16,Very Low,math,A
GP,M,15,U,GT3,T,higher education,higher education,other,teacher,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,High,High,Medium,Very Low,Very Low,Low,2,11,13,14,Extremely Low,math,B
GP,M,16,U,GT3,T,secondary education,secondary education,other,services,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,Very High,High,Low,Very Low,Very Low,Very High,0,13,14,13,Extremely Low,math,C
GP,M,17,R,GT3,T,primary education (4th grade),secondary education,other,other,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,Very High,Low,High,Very Low,High,Very High,20,9,7,8,Medium Low,math,F
GP,M,15,U,GT3,T,secondary education,higher education,other,other,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,Medium,High,Medium,Very Low,Low,High,6,14,13,13,Very Low,math,C
GP,F,15,U,GT3,T,primary education (4th grade),5th to 9th grade,at_home,services,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,Medium,Low,Medium,Very Low,Low,Very Low,2,16,15,15,Very Low,math,B
GP,M,15,U,GT3,T,5th to 9th grade,5th to 9th grade,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,Very High,Very High,High,Very Low,Low,Very High,6,16,14,15,Very Low,math,B
GP,F,16,U,LE3,T,5th to 9th grade,higher education,other,health,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,High,Low,Low,Very Low,Low,Very High,2,13,13,13,Very Low,math,C
GP,M,16,U,GT3,T,higher education,higher education,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,Medium,High,High,Very Low,High,Very High,18,14,11,13,Medium Low,math,C
GP,F,16,U,GT3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,yes,Very High,High,High,Very Low,Very Low,Very High,0,8,7,8,Extremely Low,math,F
GP,M,15,U,GT3,T,secondary education,higher education,services,services,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,Very High,Very High,Very High,Medium,Low,Very High,0,13,13,12,Medium Low,math,C
GP,F,15,U,LE3,A,secondary education,higher education,other,other,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,Very High,Medium,Low,Very Low,Very Low,Very Low,0,7,10,11,Extremely Low,math,D
GP,F,19,U,GT3,T,none,primary education (4th grade),at_home,other,course,other,1,2,3,no,yes,no,no,no,no,no,no,Medium,High,Low,Very Low,Very Low,Very High,2,7,8,9,Extremely Low,math,F
GP,M,18,R,GT3,T,5th to 9th grade,5th to 9th grade,services,other,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,no,Medium,Medium,Medium,Very Low,Low,High,0,7,4,0,Very Low,math,F
GP,M,16,R,GT3,T,higher education,higher education,teacher,teacher,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,Medium,Very High,Very High,Low,Very High,High,8,18,18,18,Medium High,math,A
GP,F,15,R,GT3,T,secondary education,higher education,services,teacher,course,father,2,3,2,no,yes,no,no,yes,yes,yes,yes,High,Low,Low,Low,Low,Very High,0,12,0,0,Low,math,F
